Datum,Ort,Disziplin,Rang,Fahrer/in,Fantasy Punkte,Weltcup Punkte,Team
28 Oct,Soelden,Giant Slalom,1,GUT-BEHRAMI Lara,55,100,Melissa
28 Oct,Soelden,Giant Slalom,2,BRIGNONE Federica,48,80,Simon
28 Oct,Soelden,Giant Slalom,3,VLHOVA Petra,43,60,Maurus
28 Oct,Soelden,Giant Slalom,4,HECTOR Sara,38,50,Melissa
28 Oct,Soelden,Giant Slalom,5,BASSINO Marta,35,45,Lea
28 Oct,Soelden,Giant Slalom,6,SHIFFRIN Mikaela,32,40,Lena
28 Oct,Soelden,Giant Slalom,7,GRENIER Valerie,29,36,Maurus
28 Oct,Soelden,Giant Slalom,8,HOLTMANN Mina Fuerst,26,32,
28 Oct,Soelden,Giant Slalom,9,ROBINSON Alice,24,29,Sarah
28 Oct,Soelden,Giant Slalom,10,GRITSCH Franziska,22,26,Simon
28 Oct,Soelden,Giant Slalom,11,BUCIK Ana,20,24,Melissa
28 Oct,Soelden,Giant Slalom,11,MOLTZAN Paula,20,24,Sarah
28 Oct,Soelden,Giant Slalom,13,GASIENICA-DANIEL Maryna,18,20,
28 Oct,Soelden,Giant Slalom,14,LJUTIC Zrinka,17,18,
28 Oct,Soelden,Giant Slalom,14,BRUNNER Stephanie,17,18,
28 Oct,Soelden,Giant Slalom,16,GOGGIA Sofia,15,15,Dominik
28 Oct,Soelden,Giant Slalom,17,MEILLARD Melanie,14,14,
28 Oct,Soelden,Giant Slalom,18,KAPPAURER Elisabeth,13,13,
28 Oct,Soelden,Giant Slalom,19,GISIN Michelle,12,12,Maurus
28 Oct,Soelden,Giant Slalom,20,DIREZ Clara,11,11,
28 Oct,Soelden,Giant Slalom,20,WILD Simone,11,11,
28 Oct,Soelden,Giant Slalom,22,HOLDENER Wendy,9,9,Lena
28 Oct,Soelden,Giant Slalom,23,LIENSBERGER Katharina,8,8,
28 Oct,Soelden,Giant Slalom,24,RICHARDSON Britt,7,7,
28 Oct,Soelden,Giant Slalom,24,TRUPPE Katharina,7,7,
28 Oct,Soelden,Giant Slalom,26,ALPHAND Estelle,5,5,
28 Oct,Soelden,Giant Slalom,27,STJERNESUND Thea Louise,4,4,Maurus
28 Oct,Soelden,Giant Slalom,28,ZENERE Asja,3,3,
28 Oct,Soelden,Giant Slalom,29,RAST Camille,2,2,
28 Oct,Soelden,Giant Slalom,30,LUCZAK Magdalena,1,1,
11 Nov,Levi,Slalom,1,VLHOVA Petra,55,100,Maurus
11 Nov,Levi,Slalom,2,DUERR Lena,48,80,Sarah
11 Nov,Levi,Slalom,3,LIENSBERGER Katharina,43,60,
11 Nov,Levi,Slalom,4,SHIFFRIN Mikaela,38,50,Lena
11 Nov,Levi,Slalom,5,HECTOR Sara,35,45,Melissa
11 Nov,Levi,Slalom,6,NULLMEYER Ali,32,40,
11 Nov,Levi,Slalom,7,MEILLARD Melanie,29,36,
11 Nov,Levi,Slalom,8,HUBER Katharina,26,32,
11 Nov,Levi,Slalom,9,LJUTIC Zrinka,24,29,
11 Nov,Levi,Slalom,10,POPOVIC Leona,22,26,Simon
11 Nov,Levi,Slalom,11,TVIBERG Maria Therese,20,24,
11 Nov,Levi,Slalom,12,HOLDENER Wendy,19,22,Lena
11 Nov,Levi,Slalom,13,GALLHUBER Katharina,18,20,
11 Nov,Levi,Slalom,14,DUBOVSKA Martina,17,18,
11 Nov,Levi,Slalom,15,MOLTZAN Paula,16,16,Sarah
11 Nov,Levi,Slalom,16,TRUPPE Katharina,15,15,
11 Nov,Levi,Slalom,17,PETERLINI Martina,14,14,
11 Nov,Levi,Slalom,18,RAST Camille,13,13,
11 Nov,Levi,Slalom,19,SWENN LARSSON Anna,12,12,Lea
11 Nov,Levi,Slalom,20,HOLTMANN Mina Fuerst,11,11,
11 Nov,Levi,Slalom,21,GISIN Michelle,10,10,Maurus
11 Nov,Levi,Slalom,22,COLTURI Lara,9,9,
11 Nov,Levi,Slalom,23,STJERNESUND Thea Louise,8,8,Maurus
11 Nov,Levi,Slalom,24,POGNEAUX Chiara,7,7,
11 Nov,Levi,Slalom,25,HOFFMAN Madison,6,6,
11 Nov,Levi,Slalom,26,DELLA MEA Lara,5,5,
11 Nov,Levi,Slalom,27,SMART Amelia,4,4,
