Datum,Ort,Disziplin,Rang,Fahrer/in,Geschlecht,Fantasy Punkte,Weltcup Punkte,Team
2025-12-14,St. Moritz,Super G,1,Robinson Alice,W,55,100,Bürgler
2025-12-14,St. Moritz,Super G,2,Miradoli Romane,W,48,80,Rizzi
2025-12-14,St. Moritz,Super G,3,Goggia Sofia,W,43,60,Manser
2025-12-14,St. Moritz,Super G,4,Vonn Lindsey,W,38,50,Zappella
2025-12-14,St. Moritz,Super G,5,Gauche Laura,W,35,45,Woerlen
2025-12-14,St. Moritz,Super G,6,Blanc Malorie,W,32,40,Fehr
2025-12-14,St. Moritz,Super G,6,Curtoni Elena,W,32,40,Meier
2025-12-14,St. Moritz,Super G,8,Pirovano Laura,W,26,32,Rizzi
2025-12-14,St. Moritz,Super G,9,Huetter Cornelia,W,24,29,Käslin
2025-12-14,St. Moritz,Super G,10,Lie Kajsa Vickhoff,W,22,26,Meier
2025-12-14,St. Moritz,Super G,11,Weidle-Winkelmann Kira,W,20,24,Helfenberger
2025-12-14,St. Moritz,Super G,12,Suter Jasmina,W,19,22,
2025-12-14,St. Moritz,Super G,13,Ortlieb Nina,W,18,20,Zappella
2025-12-14,St. Moritz,Super G,14,Cashman Keely,W,17,18,
2025-12-14,St. Moritz,Super G,15,Egger Magdalena,W,16,16,Zappella
2025-12-14,St. Moritz,Super G,16,Ledecka Ester,W,15,15,Helbling
2025-12-14,St. Moritz,Super G,17,Cerutti Camille,W,14,14,
2025-12-14,St. Moritz,Super G,18,Bocock Mary,W,13,13,
2025-12-14,St. Moritz,Super G,19,Brunner Stephanie,W,12,12,Rizzi
2025-12-14,St. Moritz,Super G,20,Melesi Roberta,W,11,11,Käslin
2025-12-14,St. Moritz,Super G,21,Mangan Tricia,W,10,10,
2025-12-14,St. Moritz,Super G,22,Haehlen Joana,W,9,9,
2025-12-14,St. Moritz,Super G,23,Cutler Haley,W,8,8,
2025-12-14,St. Moritz,Super G,24,Muzaferija Elvedina,W,7,7,
2025-12-14,St. Moritz,Super G,25,Raedler Ariane,W,6,6,Woerlen
2025-12-14,St. Moritz,Super G,26,Fest Nadine,W,5,5,Helbling
2025-12-14,St. Moritz,Super G,27,Schmitt Janine,W,4,4,
2025-12-14,St. Moritz,Super G,28,Moreno Cande,W,3,3,
2025-12-14,St. Moritz,Super G,29,Gasienica-Daniel Maryna,W,2,2,
2025-12-14,St. Moritz,Super G,29,Grenier Valerie,W,2,2,Bulleri
2025-12-13,St. Moritz,Downhill,1,Aicher Emma,W,55,100,Helbling
2025-12-13,Val d'Isere,Giant Slalom,1,Meillard Loic,M,55,100,Zappella
2025-12-13,St. Moritz,Downhill,2,Vonn Lindsey,W,48,80,Zappella
2025-12-13,Val d'Isere,Giant Slalom,2,Aerni Luca,M,48,80,Helbling
2025-12-13,St. Moritz,Downhill,3,Goggia Sofia,W,43,60,Manser
2025-12-13,Val d'Isere,Giant Slalom,3,Odermatt Marco,M,43,60,Reich
2025-12-13,St. Moritz,Downhill,4,Johnson Breezy,W,38,50,Bürgler
2025-12-13,Val d'Isere,Giant Slalom,4,Haugan Timon,M,38,50,Meier
2025-12-13,St. Moritz,Downhill,5,Puchner Mirjam,W,35,45,Meile
2025-12-13,Val d'Isere,Giant Slalom,5,Brennsteiner Stefan,M,35,45,Reich
2025-12-13,St. Moritz,Downhill,6,Pirovano Laura,W,32,40,Rizzi
2025-12-13,Val d'Isere,Giant Slalom,6,Radamus River,M,32,40,Fehr
2025-12-13,St. Moritz,Downhill,7,Egger Magdalena,W,29,36,Zappella
2025-12-13,Val d'Isere,Giant Slalom,7,Pinheiro Braathen Lucas,M,29,36,Käslin
2025-12-13,St. Moritz,Downhill,8,Ortlieb Nina,W,26,32,Zappella
2025-12-13,Val d'Isere,Giant Slalom,8,Vinatzer Alex,M,26,32,Helfenberger
2025-12-13,St. Moritz,Downhill,9,Monsen Marte,W,24,29,Fehr
2025-12-13,Val d'Isere,Giant Slalom,9,Feurstein Patrick,M,24,29,Meile
2025-12-13,St. Moritz,Downhill,10,Raedler Ariane,W,22,26,Woerlen
2025-12-13,Val d'Isere,Giant Slalom,10,Sarchett Ryder,M,22,26,
2025-12-13,St. Moritz,Downhill,11,Flury Jasmine,W,20,24,Bulleri
2025-12-13,Val d'Isere,Giant Slalom,11,Kristoffersen Henrik,M,20,24,Rizzi
2025-12-13,St. Moritz,Downhill,12,Stuhec Ilka,W,19,22,Meier
2025-12-13,Val d'Isere,Giant Slalom,12,Gratz Fabian,M,19,22,
2025-12-13,St. Moritz,Downhill,13,Wright Isabella,W,18,20,Knuchel
2025-12-13,Val d'Isere,Giant Slalom,13,Stockinger Jonas,M,18,20,
2025-12-13,Val d'Isere,Giant Slalom,13,Schmid Alexander,M,18,20,
2025-12-13,St. Moritz,Downhill,14,Weidle-Winkelmann Kira,W,17,18,Helfenberger
2025-12-13,St. Moritz,Downhill,15,Miradoli Romane,W,16,16,Rizzi
2025-12-13,Val d'Isere,Giant Slalom,15,Della Vite Filippo,M,16,16,
2025-12-13,St. Moritz,Downhill,16,Huetter Cornelia,W,15,15,Käslin
2025-12-13,Val d'Isere,Giant Slalom,16,Haaser Raphael,M,15,15,Käslin
2025-12-13,St. Moritz,Downhill,17,Ledecka Ester,W,14,14,Helbling
2025-12-13,Val d'Isere,Giant Slalom,17,Mcgrath Atle Lie,M,14,14,Conzett
2025-12-13,St. Moritz,Downhill,18,Lie Kajsa Vickhoff,W,13,13,Meier
2025-12-13,Val d'Isere,Giant Slalom,18,Schwarz Marco,M,13,13,Bulleri
2025-12-13,St. Moritz,Downhill,19,Blanc Malorie,W,12,12,Fehr
2025-12-13,Val d'Isere,Giant Slalom,19,Anguenot Leo,M,12,12,Knuchel
2025-12-13,St. Moritz,Downhill,20,Wiles Jacqueline,W,11,11,Meile
2025-12-13,Val d'Isere,Giant Slalom,20,Kranjec Zan,M,11,11,Conzett
2025-12-13,St. Moritz,Downhill,21,Cashman Keely,W,10,10,
2025-12-13,Val d'Isere,Giant Slalom,21,Sturm Joshua,M,10,10,
2025-12-13,St. Moritz,Downhill,22,Mollin Allison,W,9,9,
2025-12-13,Val d'Isere,Giant Slalom,22,Pinturault Alexis,M,9,9,Käslin
2025-12-13,Val d'Isere,Giant Slalom,22,Tumler Thomas,M,9,9,Käslin
2025-12-13,St. Moritz,Downhill,23,Ming-Nufer Priska,W,8,8,
2025-12-13,St. Moritz,Downhill,24,Melesi Roberta,W,7,7,Käslin
2025-12-13,Val d'Isere,Giant Slalom,24,Zubcic Filip,M,7,7,Bürgler
2025-12-13,St. Moritz,Downhill,25,Durrer Delia,W,6,6,Bürgler
2025-12-13,Val d'Isere,Giant Slalom,25,Solberg Eirik Hystad,M,6,6,
2025-12-13,St. Moritz,Downhill,26,Haehlen Joana,W,5,5,
2025-12-13,St. Moritz,Downhill,26,Gauche Laura,W,5,5,Woerlen
2025-12-13,Val d'Isere,Giant Slalom,26,De Aliprandini Luca,M,5,5,Manser
2025-12-13,Val d'Isere,Giant Slalom,27,Favrot Thibaut,M,4,4,
2025-12-13,St. Moritz,Downhill,28,Curtoni Elena,W,3,3,Meier
2025-12-13,St. Moritz,Downhill,29,Cerutti Camille,W,2,2,
2025-12-13,St. Moritz,Downhill,30,Fest Nadine,W,1,1,Helbling
2025-12-12,St. Moritz,Downhill,1,Vonn Lindsey,W,55,100,Zappella
2025-12-12,St. Moritz,Downhill,2,Egger Magdalena,W,48,80,
2025-12-12,St. Moritz,Downhill,3,Puchner Mirjam,W,43,60,Meile
2025-12-12,St. Moritz,Downhill,4,Goggia Sofia,W,38,50,Manser
2025-12-12,St. Moritz,Downhill,5,Aicher Emma,W,35,45,Helbling
2025-12-12,St. Moritz,Downhill,6,Miradoli Romane,W,32,40,Rizzi
2025-12-12,St. Moritz,Downhill,6,Huetter Cornelia,W,32,40,Käslin
2025-12-12,St. Moritz,Downhill,8,Pirovano Laura,W,26,32,Rizzi
2025-12-12,St. Moritz,Downhill,8,Weidle-Winkelmann Kira,W,26,32,Helfenberger
2025-12-12,St. Moritz,Downhill,10,Ortlieb Nina,W,22,26,Zappella
