Datum,Ort,Disziplin,Rang,Fahrer/in,Geschlecht,Fantasy Punkte,Weltcup Punkte,Team
2025-12-06,Tremblant,Giant Slalom,1,Robinson Alice,W,55,100,Céline
2025-12-06,Tremblant,Giant Slalom,2,Ljutic Zrinka,W,48,80,Gabi
2025-12-06,Tremblant,Giant Slalom,3,Grenier Valerie,W,43,60,Manuel
2025-12-06,Tremblant,Giant Slalom,4,Rast Camille,W,38,50,Daniel
2025-12-06,Tremblant,Giant Slalom,5,Direz Clara,W,35,45,
2025-12-06,Tremblant,Giant Slalom,6,Shiffrin Mikaela,W,32,40,Janic
2025-12-06,Tremblant,Giant Slalom,7,Alphand Estelle,W,29,36,
2025-12-06,Tremblant,Giant Slalom,8,Goggia Sofia,W,26,32,Basil
2025-12-06,Tremblant,Giant Slalom,9,Della Mea Lara,W,24,29,
2025-12-06,Tremblant,Giant Slalom,10,O Brien Nina,W,22,26,Daniel
2025-12-06,Tremblant,Giant Slalom,11,Brunner Stephanie,W,20,24,
2025-12-06,Tremblant,Giant Slalom,12,Aicher Emma,W,19,22,Daniel
2025-12-06,Tremblant,Giant Slalom,13,Moltzan Paula,W,18,20,Manuel
2025-12-06,Tremblant,Giant Slalom,14,Gasienica-Daniel Maryna,W,17,18,
2025-12-06,Tremblant,Giant Slalom,15,Richardson Britt,W,16,16,
2025-12-06,Tremblant,Giant Slalom,16,Holtmann Mina Fuerst,W,15,15,Sara
2025-12-06,Tremblant,Giant Slalom,17,Holdener Wendy,W,14,14,Sara
2025-12-06,Tremblant,Giant Slalom,18,Astner Nina,W,13,13,
2025-12-06,Tremblant,Giant Slalom,19,Pykalainen Erika,W,12,12,
2025-12-06,Tremblant,Giant Slalom,20,Piller Sue,W,11,11,
2025-12-06,Tremblant,Giant Slalom,21,Duerr Lena,W,10,10,Céline
2025-12-06,Tremblant,Giant Slalom,22,Sylvester-Davik Madeleine,W,9,9,
2025-12-06,Tremblant,Giant Slalom,23,Colturi Lara,W,8,8,Janic
2025-12-06,Tremblant,Giant Slalom,24,Liensberger Katharina,W,7,7,
2025-12-06,Tremblant,Giant Slalom,25,Gritsch Franziska,W,6,6,
